NÚMERO DO PROTOCOLO,FINALIZAÇÃO,TMO ORIGINAL,TMO AJUSTADO
20250322-009-2846345,CADASTRADO,0 days 00:10:27,0 days 00:20:00
20250209-009-2498953,CADASTRADO,0 days 02:11:59,0 days 02:00:00
20250523-009-3420678,ATUALIZADO,0 days 00:02:28,0 days 00:03:00
20250616-009-3676581,ATUALIZADO,0 days 00:02:26,0 days 00:03:00
20250604-009-3549556,ATUALIZADO,0 days 00:02:56,0 days 00:03:00
20250401-009-2925343,ATUALIZADO,0 days 00:02:37,0 days 00:03:00
20250312-009-2759235,ATUALIZADO,0 days 00:16:09,0 days 00:15:00
20250325-009-2863720,ATUALIZADO,0 days 00:01:56,0 days 00:03:00
20250225-009-2644346,ATUALIZADO,0 days 00:21:19,0 days 00:15:00
20250526-009-3441569,ATUALIZADO,0 days 00:02:56,0 days 00:03:00
20250627-009-3806473,ATUALIZADO,0 days 00:02:35,0 days 00:03:00
20250314-009-2781623,ATUALIZADO,0 days 00:02:23,0 days 00:03:00
20250428-009-3166747,ATUALIZADO,0 days 00:02:09,0 days 00:03:00
20250407-009-2978881,ATUALIZADO,0 days 00:02:49,0 days 00:03:00
20250423-009-3120949,ATUALIZADO,0 days 00:02:45,0 days 00:03:00
20250311-009-2746651,ATUALIZADO,0 days 00:02:27,0 days 00:03:00
20250324-009-2852750,ATUALIZADO,0 days 00:02:15,0 days 00:03:00
20250314-009-2782493,ATUALIZADO,0 days 00:02:48,0 days 00:03:00
20250519-009-3369149,CADASTRADO,0 days 00:11:52,0 days 00:20:00
20250416-009-3084100,CADASTRADO,0 days 00:09:00,0 days 00:20:00
20250623-009-3734782,CADASTRADO,0 days 00:12:21,0 days 00:20:00
20250617-009-3686375,REDISTRIBUÍDO - ATUALIZAÇÃO CITAÇÃO,0 days 10:13:23,0 days 02:00:00
20250407-009-2978242,ATUALIZADO,0 days 00:02:19,0 days 00:03:00
20250319-009-2817945,ATUALIZADO,0 days 00:02:21,0 days 00:03:00
20250507-009-3245428,CADASTRADO,0 days 00:10:42,0 days 00:20:00
20250109-009-2246573,CADASTRADO,0 days 00:18:48,0 days 00:20:00
20250520-009-3382913,ATUALIZADO,0 days 00:20:00,0 days 00:15:00
20250618-009-3699217,ATUALIZADO,0 days 00:02:15,0 days 00:03:00
20250612-009-3639168,ATUALIZADO,0 days 00:02:08,0 days 00:03:00
20250606-009-3585800,CADASTRADO,0 days 00:18:01,0 days 00:20:00
20250401-009-2924305,ATUALIZADO,0 days 00:02:59,0 days 00:03:00
20250211-009-2518609,CADASTRADO,0 days 00:14:38,0 days 00:20:00
20250620-009-3724788,ATUALIZADO,0 days 00:01:42,0 days 00:03:00
20250505-009-3214631,CADASTRADO,0 days 00:15:09,0 days 00:20:00
20250402-009-2932918,ATUALIZADO,0 days 00:18:11,0 days 00:15:00
20250509-009-3275236,ATUALIZADO,0 days 00:02:08,0 days 00:03:00
20250218-009-2586349,CADASTRADO,0 days 00:13:22,0 days 00:20:00
20250404-009-2967842,CADASTRADO,0 days 00:18:31,0 days 00:20:00
20250326-009-2879101,ATUALIZADO,0 days 00:02:23,0 days 00:03:00
20250515-009-3334609,ATUALIZADO,0 days 00:02:49,0 days 00:03:00
20250521-009-3392062,ATUALIZADO,0 days 00:02:51,0 days 00:03:00
20250618-009-3698329,ATUALIZADO,0 days 00:02:47,0 days 00:03:00
20250523-009-3427846,CADASTRADO,0 days 00:18:49,0 days 00:20:00
20250527-009-3459520,ATUALIZADO,0 days 00:02:42,0 days 00:03:00
20250506-009-3240040,ATUALIZADO,0 days 00:01:49,0 days 00:03:00
20250417-009-3093299,ATUALIZADO,0 days 00:02:45,0 days 00:03:00
20250217-009-2573656,ATUALIZADO,0 days 00:02:46,0 days 00:03:00
20250324-009-2853568,ATUALIZADO,0 days 00:02:35,0 days 00:03:00
20250617-009-3692143,CADASTRADO,0 days 00:12:13,0 days 00:20:00
20250612-009-3647012,ATUALIZADO,0 days 00:02:11,0 days 00:03:00
20250530-009-3502647,ATUALIZADO,0 days 00:02:54,0 days 00:03:00
20250527-009-3457257,ATUALIZADO,0 days 00:02:51,0 days 00:03:00
20250407-009-2978235,ATUALIZADO,0 days 00:02:39,0 days 00:03:00
20250224-009-2636846,ATUALIZADO,0 days 00:00:01,0 days 00:03:00
20250403-009-2958788,ATUALIZADO,0 days 00:02:30,0 days 00:03:00
20250520-009-3384755,ATUALIZADO,0 days 00:02:31,0 days 00:03:00
20250206-009-2479207,ATUALIZADO,0 days 00:02:30,0 days 00:03:00
20250624-009-3750297,CADASTRADO,0 days 00:16:32,0 days 00:20:00
20250603-009-3531806,ATUALIZADO,0 days 00:02:25,0 days 00:03:00
20250320-009-2829299,ATUALIZADO,0 days 00:15:46,0 days 00:15:00
20250528-009-3475610,ATUALIZADO,0 days 00:02:53,0 days 00:03:00
20250623-009-3737900,ATUALIZADO,0 days 00:02:48,0 days 00:03:00
20250424-009-3131721,CADASTRADO,0 days 00:16:53,0 days 00:20:00
20250226-009-2664040,ATUALIZADO,0 days 00:35:44,0 days 00:15:00
20250312-009-2763951,ATUALIZADO,0 days 00:01:53,0 days 00:03:00
20250515-009-3337090,CADASTRADO,0 days 00:15:56,0 days 00:20:00
20250327-009-2884343,ATUALIZADO,0 days 00:02:46,0 days 00:03:00
20250225-009-2641780,CADASTRADO,0 days 00:11:27,0 days 00:20:00
20250502-009-3201358,ATUALIZADO,0 days 00:02:59,0 days 00:03:00
20250326-009-2877573,ATUALIZADO,0 days 00:02:35,0 days 00:03:00
20250402-009-2941460,ATUALIZADO,0 days 00:02:49,0 days 00:03:00
20250616-009-3669409,ATUALIZADO,0 days 00:02:16,0 days 00:03:00
20250616-009-3671058,ATUALIZADO,0 days 00:02:29,0 days 00:03:00
